country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Croatia,,,,,,,,,,,,,0.85,0.86,0.87,0.9,0.91,0.92,0.93,0.93,0.94,0.94,0.95,0.95,0.96,0.96,0.96,0.96,0.96,0.96,0.97,0.96,0.96,0.96,0.95,0.94,0.93,0.92,0.94,0.94
Cuba,0.99,0.97,0.83,0.95,0.95,0.88,0.99,0.86,0.98,0.96,0.94,0.97,0.99,0.97,0.96,0.95,0.98,0.97,0.97,0.96,0.98,0.99,0.98,0.98,0.98,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.98,0.99,0.99,0.99,0.98,0.98,0.99,0.99
Cyprus,0.35,0.44,0.27,0.36,0.31,0.61,0.91,0.93,0.9,0.93,0.94,0.94,0.95,0.95,0.96,0.96,0.98,0.98,0.98,0.97,0.97,0.97,0.98,0.98,0.98,0.98,0.97,0.97,0.97,0.99,0.99,0.99,0.99,0.99,0.99,0.97,0.97,0.97,0.97,0.96
Czech Republic,,,,,,,,,,,,,,0.99,0.98,0.98,0.98,0.97,0.97,0.98,0.98,0.97,0.97,0.97,0.96,0.96,0.98,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.97,0.96,0.94,0.96,0.97
Denmark,0.99,0.98,0.99,0.98,0.96,0.99,0.94,0.97,0.99,0.98,0.99,0.98,0.98,0.96,0.99,0.97,0.99,0.99,0.99,0.99,0.97,0.97,0.98,0.96,0.95,0.93,0.93,0.87,0.88,0.89,0.9,0.91,0.94,0.94,0.94,0.93,0.94,0.98,0.97,0.97
Djibouti,,,0.06,0.14,0.21,0.22,0.24,0.25,0.65,0.77,0.85,0.53,0.41,0.41,0.41,0.41,0.41,0.32,0.23,0.24,0.46,0.49,0.62,0.68,0.64,0.71,0.72,0.88,0.89,0.89,0.88,0.87,0.81,0.82,0.78,0.84,0.68,0.76,0.84,0.85
Dominica,0.53,0.97,0.73,0.92,0.82,0.89,0.92,0.95,0.97,0.94,0.94,0.94,0.99,0.99,0.99,0.99,0.99,0.97,0.99,0.99,0.99,0.99,0.98,0.99,0.99,0.98,0.96,0.93,0.95,0.99,0.99,0.98,0.97,0.96,0.97,0.98,0.99,0.91,0.94,0.99
Dominican Republic,0.46,0.42,0.43,0.22,0.99,0.39,0.79,0.79,0.65,0.7,0.9,0.74,0.73,0.82,0.98,0.7,0.7,0.71,0.68,0.71,0.71,0.71,0.74,0.65,0.66,0.86,0.88,0.86,0.86,0.85,0.85,0.84,0.85,0.82,0.9,0.87,0.82,0.8,0.89,0.92
Ecuador,0.19,0.27,0.36,0.32,0.47,0.39,0.44,0.51,0.58,0.64,0.67,0.61,0.86,0.84,0.83,0.82,0.8,0.79,0.83,0.83,0.83,0.9,0.88,0.97,0.9,0.89,0.92,0.95,0.94,0.91,0.88,0.85,0.85,0.87,0.84,0.84,0.79,0.83,0.85,0.85
Egypt,0.67,0.67,0.67,0.67,0.78,0.84,0.89,0.82,0.89,0.9,0.87,0.86,0.89,0.89,0.91,0.9,0.91,0.94,0.95,0.97,0.98,0.99,0.97,0.98,0.97,0.98,0.98,0.98,0.97,0.97,0.97,0.96,0.93,0.97,0.94,0.93,0.95,0.94,0.95,0.95
